gene	gene_id	transcript	oe_lof_upper	obs_lof	exp_lof	mu_lof	cds_length	canonical	chr.hg38	gene_start	gene_end	transcript_start	transcript_end	gene_length	transcript_length	ccr_length
STX6	ENSG00000135823	ENST00000258301	0.749	6	15.815	1.27455775e-06	765	1	1	180972712	181023121	180972725	181022870	50410	50146	740
GLUL	ENSG00000135821	ENST00000311223	0.185	0	16.108	1.4402655e-06	1119	1	1	182378098	182392206	182381705	182392206	14109	10502	1114
TAF5L	ENSG00000135801	ENST00000258281	0.193	1	24.538	2.507475e-06	1767	1	1	229593134	229626122	229593134	229626122	32989	32989	1158
NTPCR	ENSG00000135778	ENST00000366627	1.312	5	7.9779	7.2177425e-07	684	0	1	232950605	232983882	232950640	232977528	33278	26889	686
ABCB10	ENSG00000135776	ENST00000344517	0.937	16	25.928	2.20363e-06	2214	1	1	229516582	229558707	229516582	229558707	42126	42126	1468
COG2	ENSG00000135775	ENST00000366668	0.62	17	41.142	3.665235e-06	2211	0	1	230642481	230693982	230642567	230693982	51502	51416	2298
CAPN9	ENSG00000135773	ENST00000271971	1.14	37	42.698	3.8014125e-06	2070	1	1	230747384	230802003	230747388	230801989	54620	54602	2055
EGLN1	ENSG00000135766	ENST00000366641	0.303	1	15.652	1.405794e-06	1278	1	1	231363751	231422287	231363756	231422287	58537	58532	916
URB2	ENSG00000135763	ENST00000258243	0.845	36	56.249	4.8734125e-06	4572	1	1	229626247	229660200	229626247	229660200	33954	33954	4559
KCNK1	ENSG00000135750	ENST00000366621	0.905	4	10.108	7.1463875e-07	1008	1	1	233614106	233672514	233614106	233672514	58409	58409	1127
PCNXL2	ENSG00000135749	ENST00000258229	0.681	54	99.494	8.9892225e-06	6411	1	1	232983435	233295725	232983435	233295725	312291	312291	6775
AGT	ENSG00000135744	ENST00000366667	1.445	12	13.425	1.13486275e-06	1455	1	1	230690776	230745576	230702523	230714122	54801	11600	1455
SLC9A5	ENSG00000135740	ENST00000299798	0.691	20	42.056	4.17812e-06	2688	1	16	67237683	67272191	67248979	67272191	34509	23213	2637
CCDC102A	ENSG00000135736	ENST00000258214	0.846	10	20.049	1.56744825e-06	1650	1	16	57512181	57536571	57512181	57536571	24391	24391	1161
FHOD1	ENSG00000135723	ENST00000258201	0.876	33	50.362	4.3508125e-06	3492	1	16	67229387	67247481	67229389	67247481	18095	18093	3454
FBXL8	ENSG00000135722	ENST00000258200	1.914	11	7.7283	5.605555e-07	1122	1	16	67159932	67164570	67159957	67164174	4639	4218	1255
DYNC1LI2	ENSG00000135720	ENST00000258198	0.302	3	25.702	2.0708025e-06	1476	1	16	66720893	66751609	66720893	66751609	30717	30717	1533
CHST5	ENSG00000135702	ENST00000336257	1.233	7	10.65	1.21335325e-06	1233	1	16	75528530	75536108	75528530	75536108	7579	7579	1299
MPHOSPH6	ENSG00000135698	ENST00000258169	1.419	6	8.2814	5.797845e-07	480	1	16	82147798	82170224	82148162	82170224	22427	22063	480
BCMO1	ENSG00000135697	ENST00000258168	1.18	20	24.637	1.954055e-06	1641	1	16	81238689	81291142	81238689	81291142	52454	52454	1562
KLHL36	ENSG00000135686	ENST00000258157	0.461	4	19.865	1.79292e-06	1659	0	16	84648511	84667686	84648535	84662314	19176	13780	1851
MDM2	ENSG00000135679	ENST00000258148	0.189	1	25.09	2.48034e-06	1326	0	12	68808177	68845544	68808464	68839867	37368	31404	1500
CPM	ENSG00000135678	ENST00000338356	0.879	11	20.708	1.7120175e-06	1329	0	12	68842197	68971570	68851180	68932884	129374	81705	1327
GNS	ENSG00000135677	ENST00000258145	0.606	11	30.056	2.404965e-06	1656	1	12	64713445	64759431	64713449	64759406	45987	45958	1772
USP15	ENSG00000135655	ENST00000280377	0.211	6	56.163	5.294675e-06	2943	1	12	62260338	62417431	62260404	62416389	157094	155986	2891
EMX1	ENSG00000135638	ENST00000258106	0.409	0	7.3126	5.2462675e-07	870	1	2	72916260	72936071	72917519	72934891	19812	17373	702
DYSF	ENSG00000135636	ENST00000258104	0.777	75	117.01	1.03188375e-05	6240	0	2	71453561	71686763	71453561	71686763	233203	233203	6476
RAB11FIP5	ENSG00000135631	ENST00000258098	0.744	8	19.395	1.675e-06	1959	1	2	73073382	73156721	73073382	73113018	83340	39637	1841
EGR4	ENSG00000135625	ENST00000436467	1.051	4	8.7068	7.45241e-07	1458	1	2	73290929	73293701	73290929	73293548	2773	2620	1509
CCT7	ENSG00000135624	ENST00000258091	0.301	3	25.728	2.1910675e-06	1629	1	2	73233420	73253021	73234308	73253005	19602	18698	1629
SEMA4F	ENSG00000135622	ENST00000339773	0.924	18	28.879	4.0144725e-06	1845	0	2	74654226	74690634	74654280	74680441	36409	26162	2284
PRADC1	ENSG00000135617	ENST00000258083	1.533	8	9.3012	9.1604075e-07	564	1	2	73228010	73233239	73228010	73233239	5230	5230	538
TEC	ENSG00000135605	ENST00000381501	0.687	19	40.564	3.5468125e-06	1893	1	4	48135783	48269838	48135783	48269838	134056	134056	1881
STX11	ENSG00000135604	ENST00000367568	1.379	6	8.5427	7.766305e-07	861	1	6	144150487	144191939	144150517	144191939	41453	41423	858
REPS1	ENSG00000135597	ENST00000258062	0.301	7	43.617	3.4952225e-06	2385	1	6	138903493	138988261	138904870	138988261	84769	83392	2428
MICAL1	ENSG00000135596	ENST00000358577	0.88	39	57.895	5.708065e-06	2943	0	6	109444062	109465968	109444062	109455742	21907	11681	3208
SMPD2	ENSG00000135587	ENST00000258052	1.583	25	22.016	1.6969425e-06	1269	1	6	109440724	109443919	109440724	109443919	3196	3196	1375
NMBR	ENSG00000135577	ENST00000258042	1.789	11	9.5555	6.711725e-07	1170	1	6	142058330	142147122	142074484	142147122	88793	72639	1147
TAAR5	ENSG00000135569	ENST00000258034	1.934	13	8.4651	6.0402175e-07	1011	1	6	132588592	132589741	132588592	132589741	1150	1150	1012
PKIB	ENSG00000135549	ENST00000258014	1.705	2	3.1324	2.205305e-07	255	1	6	122471917	122726373	122652732	122726373	254457	73642	277
HEY2	ENSG00000135547	ENST00000368364	0.407	1	11.65	1.11288675e-06	1011	1	6	125747664	125761269	125749632	125761269	13606	11638	1014
AHI1	ENSG00000135541	ENST00000265602	0.95	48	64.287	6.0067175e-06	3588	1	6	135283407	135498434	135283532	135497740	215028	214209	3777
NHSL1	ENSG00000135540	ENST00000427025	0.375	10	45.221	4.3595225e-06	4830	1	6	138422043	138692571	138422043	138572540	270529	150498	4756
LACE1	ENSG00000135537	ENST00000368977	0.964	17	26.442	2.2831925e-06	1443	1	6	108294991	108526796	108295054	108526001	231806	230948	1443
CD164	ENSG00000135535	ENST00000275080	0.676	2	9.3184	9.80545e-07	552	0	6	109366514	109382467	109366518	109382444	15954	15927	714
MAP7	ENSG00000135525	ENST00000354570	0.362	9	43.419	4.424345e-06	2247	1	6	136342281	136550819	136342734	136550422	208539	207689	2377
LTV1	ENSG00000135521	ENST00000367576	0.869	16	27.962	2.66526e-06	1425	1	6	143843338	143863812	143843338	143863812	20475	20475	1428
KCNH3	ENSG00000135519	ENST00000257981	0.247	5	42.617	3.740275e-06	3249	1	12	49539030	49558337	49539030	49558337	19308	19308	3249
OS9	ENSG00000135506	ENST00000257966	0.768	18	34.749	3.0128225e-06	1839	0	12	57693841	57728342	57693841	57721555	34502	27715	2003
ACVR1B	ENSG00000135503	ENST00000257963	0.115	0	25.845	2.748675e-06	1515	1	12	51951699	51997078	51951699	51997078	45380	45380	1769
ZC3H10	ENSG00000135482	ENST00000257940	0.609	3	12.729	1.63675975e-06	1302	1	12	56118260	56127514	56118266	56127514	9255	9249	1305
KRT7	ENSG00000135480	ENST00000331817	1.443	18	18.485	1.318426e-06	1407	1	12	52232520	52252186	52233243	52248921	19667	15679	1409
ESPL1	ENSG00000135476	ENST00000257934	0.159	9	98.972	9.2066375e-06	6360	1	12	53268299	53293638	53268299	53293638	25340	25340	6353
PAN2	ENSG00000135473	ENST00000257931	0.315	12	61.672	5.7119175e-06	3603	0	12	56316223	56334053	56316937	56334006	17831	17070	3602
FAIM2	ENSG00000135472	ENST00000320634	0.82	10	20.684	1.726925e-06	948	1	12	49866896	49904217	49866896	49903900	37322	37005	921
COQ10A	ENSG00000135469	ENST00000308197	1.126	7	11.671	1.227842e-06	741	1	12	56266890	56270966	56266942	56270966	4077	4025	755
TFCP2	ENSG00000135457	ENST00000257915	0.676	15	34.165	3.111145e-06	1506	1	12	51093656	51173135	51093656	51173135	79480	79480	1509
B4GALNT1	ENSG00000135454	ENST00000341156	0.793	11	22.952	1.8902375e-06	1599	1	12	57623409	57633239	57623409	57633201	9831	9793	1698
TROAP	ENSG00000135451	ENST00000257909	0.843	23	38.652	3.6905275e-06	2334	1	12	49323236	49331731	49323255	49331731	8496	8477	2774
CDK4	ENSG00000135446	ENST00000257904	0.642	5	16.384	1.87667e-06	909	1	12	57747727	57756013	57747727	57752310	8287	4584	911
KRT85	ENSG00000135443	ENST00000257901	0.826	13	25.011	2.447175e-06	1521	1	12	52360006	52367481	52360006	52367481	7476	7476	1573
AGAP2	ENSG00000135439	ENST00000257897	0.346	9	45.423	4.8898275e-06	2508	0	12	57723761	57742157	57723761	57742157	18397	18397	3009
FAM186B	ENSG00000135436	ENST00000257894	1.242	37	39.198	3.3602175e-06	2679	1	12	49582885	49605639	49587505	49605639	22755	18135	2673
TESPA1	ENSG00000135426	ENST00000316577	0.792	13	26.083	2.32222e-06	1563	0	12	54948015	54984762	54950170	54981838	36748	31669	1742
ITGA7	ENSG00000135424	ENST00000257879	0.825	37	58.986	5.8418975e-06	3411	1	12	55684568	55716404	55684568	55707904	31837	23337	3679
GLS2	ENSG00000135423	ENST00000311966	0.831	22	37.781	3.84513e-06	1806	1	12	56470944	56488414	56470952	56488161	17471	17210	1806
GDF11	ENSG00000135414	ENST00000257868	0.298	1	15.92	1.544685e-06	1221	1	12	55743122	55757264	55743122	55757264	14143	14143	1064
LACRT	ENSG00000135413	ENST00000257867	1.737	6	6.3011	4.4362375e-07	414	1	12	54630811	54634895	54630811	54634895	4085	4085	433
AMHR2	ENSG00000135409	ENST00000257863	0.934	20	31.126	3.657865e-06	1719	1	12	53423855	53431672	53423855	53431672	7818	7818	1721
AVIL	ENSG00000135407	ENST00000257861	0.778	29	50.808	4.7591775e-06	2457	1	12	57797376	57818734	57797882	57816471	21359	18590	2458
PRPH	ENSG00000135406	ENST00000257860	1.383	21	21.861	1.6755025e-06	1410	1	12	49295147	49298686	49295147	49298686	3540	3540	1366
CD63	ENSG00000135404	ENST00000257857	0.817	5	12.873	1.07064325e-06	714	1	12	55725323	55729707	55725323	55729009	4385	3687	712
ATP5G2	ENSG00000135390	ENST00000338662	1.722	7	7.1859	7.6113675e-07	471	0	12	53632726	53677408	53665202	53677398	44683	12197	590
CAPRIN1	ENSG00000135387	ENST00000341394	0.311	8	46.357	4.1022425e-06	2127	1	11	34051731	34102610	34051731	34102610	50880	50880	2147
PRRG4	ENSG00000135378	ENST00000257836	0.83	3	9.3407	6.49163e-07	678	1	11	32829927	32858120	32829927	32858120	28194	28194	678
ELF5	ENSG00000135374	ENST00000257832	0.853	8	16.927	1.595806e-06	765	1	11	34478791	34525193	34478791	34513794	46403	35004	860
EHF	ENSG00000135373	ENST00000257831	0.386	3	20.076	1.98856e-06	900	1	11	34621093	34663288	34621093	34663288	42196	42196	1002
NAT10	ENSG00000135372	ENST00000257829	0.911	43	60.866	5.51678e-06	3075	1	11	34105617	34147670	34105629	34146908	42054	41280	3062
LMO2	ENSG00000135363	ENST00000257818	1.028	2	6.1107	4.34026e-07	681	1	11	33858576	33892076	33858576	33892076	33501	33501	436
GJA10	ENSG00000135355	ENST00000369352	1.419	15	16.263	1.5366785e-06	1629	1	6	89894469	89921760	89894469	89896120	27292	1652	1622
MAP3K7	ENSG00000135341	ENST00000369325	0.244	3	31.824	2.958385e-06	1554	0	6	90513573	90587086	90513573	90586883	73514	73311	1821
LCA5	ENSG00000135338	ENST00000369846	0.649	13	31.837	3.323535e-06	2091	1	6	79484991	79537458	79484991	79537430	52468	52440	2140
ORC3	ENSG00000135336	ENST00000257789	0.707	22	44.433	3.9109575e-06	2136	1	6	87590067	87677823	87590135	87667451	87757	77317	2197
AKIRIN2	ENSG00000135334	ENST00000257787	0.376	1	12.625	1.467702e-06	609	1	6	87674860	87702233	87674860	87702233	27374	27374	377
EPHA7	ENSG00000135333	ENST00000369303	0.128	2	49.27	4.1675675e-06	2994	1	6	93240020	93419687	93240020	93419559	179668	179540	3005
MRAP2	ENSG00000135324	ENST00000257776	1.878	9	7.0766	4.9494575e-07	615	1	6	84033772	84090881	84033772	84090881	57110	57110	618
NT5E	ENSG00000135318	ENST00000257770	1.181	19	23.598	1.955395e-06	1722	1	6	85449584	85495791	85450083	85495784	46208	45702	1853
SNX14	ENSG00000135317	ENST00000314673	0.827	35	56.086	4.5173075e-06	2838	1	6	85504776	85594156	85505496	85593858	89381	88363	2896
SYNCRIP	ENSG00000135316	ENST00000355238	0.102	0	29.174	2.6459975e-06	1686	0	6	85607779	85644063	85608335	85642991	36285	34657	1914
KIAA1009	ENSG00000135315	ENST00000257766	0.938	44	60.282	4.7544875e-06	3981	0	6	84124241	84227643	84124241	84227596	103403	103356	4159
KHDC1	ENSG00000135314	ENST00000370384	1.785	13	11.01	9.42422e-07	711	1	6	73241314	73310365	73241314	73310215	69052	68902	692
HTR1B	ENSG00000135312	ENST00000369947	0.71	3	10.926	8.0575875e-07	1170	1	6	77460924	77463491	77460924	77463491	2568	2568	1173
ANKRD6	ENSG00000135299	ENST00000339746	0.908	23	35.902	3.27228e-06	2181	1	6	89433152	89633834	89433152	89633821	200683	200670	2422
BAI3	ENSG00000135298	ENST00000370598	0.138	6	85.783	7.6653025e-06	4566	1	6	68635282	69390571	68635282	69389506	755290	754225	4684
MTO1	ENSG00000135297	ENST00000370300	0.596	14	36.75	3.717495e-06	2151	0	6	73461578	73509236	73461765	73501452	47659	39688	2136
TES	ENSG00000135269	ENST00000358204	1.547	22	20.271	1.69242e-06	1263	1	7	116210506	116258783	116210539	116258783	48278	48245	1376
SRPK2	ENSG00000135250	ENST00000357311	0.275	5	38.218	3.4473175e-06	2064	0	7	105110704	105399308	105116377	105269015	288605	152639	1987
RINT1	ENSG00000135249	ENST00000257700	0.826	27	45.061	4.18013e-06	2376	1	7	105532169	105567677	105532201	105567677	35509	35477	2374
FAM71F1	ENSG00000135248	ENST00000315184	1.182	13	17.489	1.38735225e-06	1032	1	7	128709061	128731743	128715389	128731743	22683	16355	1030
HILPDA	ENSG00000135245	ENST00000257696	1.861	0	0.3281	2.21033e-08	189	1	7	128455849	128458418	128455878	128458418	2570	2541	190
PNPLA8	ENSG00000135241	ENST00000257694	0.505	10	33.621	3.0500075e-06	2346	1	7	108470417	108569666	108470417	108526135	99250	55719	2342
UGT2B28	ENSG00000135226	ENST00000335568	1.691	24	19.788	1.7086675e-06	1587	1	4	69280475	69295050	69280475	69295050	14576	14576	0
CSN2	ENSG00000135222	ENST00000353151	1.374	9	11.4	8.166295e-07	678	1	4	69955256	69965728	69955256	69965728	10473	10473	652
UGT2A3	ENSG00000135220	ENST00000251566	1.53	22	20.501	1.9203875e-06	1581	1	4	68928463	68951804	68928463	68951804	23342	23342	0
CD36	ENSG00000135218	ENST00000309881	1.995	66	23.431	1.65558675e-06	1416	0	7	80369575	80679277	80602150	80674409	309703	72260	1338
CCDC146	ENSG00000135205	ENST00000285871	1.072	45	53.819	5.0563225e-06	2865	1	7	77122434	77329533	77122615	77295204	207100	172590	2706
TMEM243	ENSG00000135185	ENST00000257637	1.903	8	5.9858	5.2502875e-07	354	1	7	87196160	87220587	87196160	87219732	24428	23573	481
OCM2	ENSG00000135175	ENST00000257627	1.386	3	5.4956	3.87997e-07	327	1	7	97984687	97991169	97984687	97990196	6483	5510	0
DMTF1	ENSG00000135164	ENST00000331242	0.317	7	41.453	3.922515e-06	2280	1	7	87152409	87196337	87152453	87196325	43929	43873	2440
TRAFD1	ENSG00000135148	ENST00000257604	0.876	17	29.12	2.5495175e-06	1746	1	12	112125538	112153604	112125545	112153603	28067	28059	1743
DTX1	ENSG00000135144	ENST00000257600	0.69	9	22.746	1.77282e-06	1860	1	12	113056730	113098028	113057690	113098028	41299	40339	1519
CCDC64	ENSG00000135127	ENST00000397558	0.335	5	31.352	3.2027675e-06	1719	1	12	119989236	120094494	119989869	120094494	105259	104626	1592
P2RX4	ENSG00000135124	ENST00000337233	1.38	19	20.191	1.556343e-06	1164	1	12	121210065	121234106	121210129	121234106	24042	23978	1206
RNFT2	ENSG00000135119	ENST00000257575	0.803	12	24.199	2.2654375e-06	1332	1	12	116738178	116853631	116738315	116853631	115454	115317	1602
OASL	ENSG00000135114	ENST00000257570	1.553	16	15.577	1.12682275e-06	1542	1	12	121017763	121039246	121019111	121039246	21484	20136	1545
TBX3	ENSG00000135111	ENST00000257566	0.281	2	22.416	1.8332875e-06	2229	1	12	114670255	114684175	114670255	114683590	13921	13336	2184
FBXO21	ENSG00000135108	ENST00000330622	0.314	5	33.434	2.72087e-06	1884	1	12	117141991	117190470	117145068	117190456	48480	45389	1806
HNF1A	ENSG00000135100	ENST00000257555	0.33	4	27.767	2.586535e-06	1893	1	12	120978543	121002512	120978543	121002512	23970	23970	2413
MSI1	ENSG00000135097	ENST00000257552	0.264	2	23.846	2.2557225e-06	1086	1	12	120341330	120369164	120341330	120369164	27835	27835	1019
SDS	ENSG00000135094	ENST00000257549	1.072	8	13.46	1.100944e-06	984	1	12	113392445	113426301	113392445	113403887	33857	11443	985
USP30	ENSG00000135093	ENST00000257548	0.663	12	29.324	2.4857e-06	1551	1	12	109023089	109088023	109052576	109088023	64935	35448	1528
TAOK3	ENSG00000135090	ENST00000392533	0.241	7	54.551	5.061515e-06	2694	1	12	118149801	118372907	118149801	118372907	223107	223107	2693
CCNJL	ENSG00000135083	ENST00000257536	1.325	12	14.669	1.18343775e-06	1161	1	5	160249083	160345396	160249083	160312564	96314	63482	1414
HAVCR2	ENSG00000135077	ENST00000307851	0.857	4	10.677	7.522425e-07	903	1	5	157085422	157142869	157085832	157109044	57448	23213	871
ADAM19	ENSG00000135074	ENST00000257527	0.501	17	50.852	4.9015525e-06	2754	1	5	157395534	157575775	157477304	157575775	180242	98472	2882
ISCA1	ENSG00000135070	ENST00000311534	1.861	0	0.33187	5.8643425e-07	93	0	9	86264546	86283102	86265679	86282108	18557	16430	160
PSAT1	ENSG00000135069	ENST00000347159	1.109	10	15.289	1.37475625e-06	972	0	9	78297125	78330093	78297143	78329454	32969	32312	1006
FAM189A2	ENSG00000135063	ENST00000257515	1.112	17	22.928	2.329925e-06	1350	1	9	69324567	69392558	69329325	69392454	67992	63130	0
GOLM1	ENSG00000135052	ENST00000388711	1.034	16	23.497	2.1056425e-06	1203	0	9	86026146	86100173	86026147	86100149	74028	74003	1201
AGTPBP1	ENSG00000135049	ENST00000337006	0.848	4	10.789	5.836035e-06	564	0	9	85546539	85742029	85546540	85742029	195491	195490	3670
TMEM2	ENSG00000135048	ENST00000377044	0.644	32	66.741	6.046415e-06	4149	1	9	71683366	71816690	71683366	71768513	133325	85148	4173
CTSL	ENSG00000135047	ENST00000340342	0.781	6	15.168	1.080643e-06	999	0	9	87724051	87731469	87726122	87731391	7419	5270	1056
ANXA1	ENSG00000135046	ENST00000257497	1.03	14	21.239	1.7887325e-06	1038	1	9	73151865	73170629	73151865	73170393	18765	18529	1072
C9orf40	ENSG00000135045	ENST00000376854	1.491	2	4.0117	2.9458225e-07	582	1	9	74946583	74952912	74946583	74952912	6330	6330	438
NAA35	ENSG00000135040	ENST00000361671	0.136	2	46.127	4.14931e-06	2175	1	9	85941146	86025462	85941146	86025462	84317	84317	2259
UBQLN1	ENSG00000135018	ENST00000257468	0.241	2	26.098	2.32624e-06	1683	0	9	83659968	83707958	83661429	83707934	47991	46506	1651
RFK	ENSG00000135002	ENST00000376736	0.997	3	7.7751	7.13751e-07	465	1	9	76385526	76394517	76385526	76394426	8992	8901	531
OSTF1	ENSG00000134996	ENST00000346234	0.856	7	15.366	1.19901525e-06	642	1	9	75088514	75147265	75088514	75147265	58752	58752	645
WDR36	ENSG00000134987	ENST00000505303	0.429	7	30.682	4.291685e-06	1743	0	5	111092321	111130502	111092321	111111552	38182	19232	0
NREP	ENSG00000134986	ENST00000395634	1.46	4	6.1466	5.69165e-07	336	1	5	111662621	111997464	111729984	111976931	334844	246948	0
APC	ENSG00000134982	ENST00000257430	0.161	11	113.19	1.19241575e-05	8529	1	5	112707518	112846239	112737885	112846239	138722	108355	8512
KLB	ENSG00000134962	ENST00000257408	0.425	12	45.706	4.52853e-06	3132	1	4	39406930	39451533	39406930	39451533	44604	44604	3130
ETS1	ENSG00000134954	ENST00000392668	0.389	5	27.007	2.339975e-06	1455	1	11	128458761	128587558	128458765	128587558	128798	128794	1544
ACRV1	ENSG00000134940	ENST00000315608	1.425	9	10.982	8.526085e-07	738	0	11	125671522	125680874	125672343	125680831	9353	8489	780
ADAMTS8	ENSG00000134917	ENST00000257359	0.909	21	33.271	2.8265625e-06	2667	1	11	130404923	130428609	130404923	130428609	23687	23687	2403
STT3A	ENSG00000134910	ENST00000392708	0.488	13	42.32	4.3008975e-06	2115	1	11	125591712	125625215	125592852	125623091	33504	30240	2118
ARHGAP32	ENSG00000134909	ENST00000310343	0.254	13	81.333	7.4914375e-06	6261	1	11	128965060	129279324	128965060	129192198	314265	227139	6307
CARS2	ENSG00000134905	ENST00000257347	0.84	16	28.939	2.1800125e-06	1692	1	13	110641412	110713603	110641417	110706116	72192	64700	1781
KDELC1	ENSG00000134901	ENST00000376004	0.987	17	25.842	2.2637625e-06	1506	1	13	102784281	102799040	102784281	102798976	14760	14696	1508
TPP2	ENSG00000134900	ENST00000376052	0.273	11	66.61	5.401875e-06	3786	1	13	102596958	102679958	102596986	102679958	83001	82973	3784
BIVM	ENSG00000134897	ENST00000257336	0.672	11	27.103	2.2215525e-06	1509	1	13	102799119	102841533	102799119	102841533	42415	42415	1533
UBAC2	ENSG00000134882	ENST00000355700	0.891	5	11.804	1.64821675e-06	613	0	13	99200774	99386504	99200774	99385315	185731	184542	1137
DZIP1	ENSG00000134874	ENST00000347108	1.03	36	46.156	3.783825e-06	2601	1	13	95578202	95644706	95578203	95643263	66505	65061	2527
CLDN10	ENSG00000134873	ENST00000299339	1.224	6	9.6626	6.8016725e-07	684	1	13	95433604	95579759	95552720	95579759	146156	27040	687
COL4A2	ENSG00000134871	ENST00000360467	0.585	40	88.988	7.5302975e-06	5136	1	13	110305812	110513209	110307284	110513209	207398	205926	5120
GGACT	ENSG00000134864	ENST00000376250	1.919	4	2.9065	2.0962625e-07	459	1	13	100530164	100589528	100530183	100583997	59365	53815	347
PDGFRA	ENSG00000134853	ENST00000257290	0.169	4	54.054	4.73489e-06	3267	1	4	54229280	54298245	54229293	54298245	68966	68953	3311
CLOCK	ENSG00000134852	ENST00000309964	0.247	7	53.137	4.5732525e-06	2538	1	4	55427903	55546909	55427903	55510027	119007	82125	2536
TMEM165	ENSG00000134851	ENST00000381334	0.63	3	12.314	1.0067755e-06	972	1	4	55395957	55453397	55395957	55426175	57441	30219	823
TCN1	ENSG00000134827	ENST00000257264	1.715	23	18.766	1.3764145e-06	1299	1	11	59852800	59866489	59852808	59866487	13690	13680	1284
FADS2	ENSG00000134824	ENST00000257261	0.248	2	25.412	2.11921e-06	1266	0	11	61792980	61867354	61816256	61867354	74375	51099	1782
DHX34	ENSG00000134815	ENST00000328771	0.768	28	50.011	4.6750925e-06	3429	1	19	47349312	47383247	47349315	47382704	33936	33390	3220
GIF	ENSG00000134812	ENST00000257248	0.823	9	19.091	1.55297625e-06	1251	1	11	59829273	59845499	59829273	59845499	16227	16227	0
TIMM10	ENSG00000134809	ENST00000257245	1.847	4	3.8738	4.1719225e-07	270	1	11	57528464	57530803	57528464	57530754	2340	2291	273
SLC43A3	ENSG00000134802	ENST00000352187	0.856	13	24.14	2.055225e-06	1473	0	11	57406954	57427580	57406956	57427580	20627	20625	1514
DAGLA	ENSG00000134780	ENST00000257215	0.171	3	45.43	3.56842e-06	3126	1	11	61680391	61747001	61680391	61747001	66611	66611	3126
TPGS2	ENSG00000134779	ENST00000334295	1.063	8	13.576	9.6103125e-07	900	1	18	36777647	36829216	36794108	36829002	51570	34895	921
FHOD3	ENSG00000134775	ENST00000257209	0.374	16	65.037	5.7651825e-06	4317	1	18	36297713	36780220	36297714	36780055	482508	482342	4840
DSC1	ENSG00000134765	ENST00000257197	0.963	30	42.275	4.0024125e-06	2520	0	18	31129236	31162856	31129236	31162856	33621	33621	2656
DSC3	ENSG00000134762	ENST00000360428	1.196	34	37.854	2.9444825e-06	2688	1	18	30989365	31042815	30989365	31042742	53451	53378	2716
DSG1	ENSG00000134760	ENST00000257192	0.331	8	43.616	4.105425e-06	3147	1	18	31318160	31359246	31318160	31359246	41087	41087	3145
ELP2	ENSG00000134759	ENST00000350494	0.935	39	54.486	5.165365e-06	2463	0	18	36129444	36180557	36129920	36174648	51114	44729	2654
RNF138	ENSG00000134758	ENST00000257190	0.593	1	7.995	8.66913e-07	453	0	18	32091874	32131561	32092690	32130715	39688	38026	669
DSG3	ENSG00000134757	ENST00000257189	1.09	35	42.578	3.898395e-06	2997	1	18	31447741	31478702	31447741	31478702	30962	30962	2989
DSC2	ENSG00000134755	ENST00000251081	0.703	18	37.995	3.2067875e-06	2541	0	18	31058545	31102600	31058840	31102421	44056	43582	2671
PRPF38A	ENSG00000134748	ENST00000257181	0.408	4	22.453	2.522885e-06	936	1	1	52404602	52420836	52404602	52420836	16235	16235	935
ZCCHC11	ENSG00000134744	ENST00000257177	0.107	4	85.803	8.2987875e-06	4935	1	1	52408282	52553487	52423275	52553092	145206	129818	5062
BTF3L4	ENSG00000134717	ENST00000313334	0.698	1	6.7939	4.7771e-07	474	1	1	52056199	52090716	52056295	52090716	34518	34422	438
CYP2J2	ENSG00000134716	ENST00000371204	1.39	23	23.438	1.9485275e-06	1506	1	1	59893308	59926773	59893308	59926773	33466	33466	1507
HOOK1	ENSG00000134709	ENST00000371208	0.623	21	48.511	3.82503e-06	2184	1	1	59814786	59876322	59814949	59876322	61537	61374	2143
AGO4	ENSG00000134698	ENST00000373210	0.218	5	48.217	4.693685e-06	2583	1	1	35808016	35857890	35808016	35857890	49875	49875	2567
GNL2	ENSG00000134697	ENST00000373062	0.551	15	41.921	4.0101175e-06	2193	1	1	37566816	37595937	37566816	37595937	29122	29122	2392
CDCA8	ENSG00000134690	ENST00000327331	0.683	7	19.239	1.9964325e-06	840	0	1	37692481	37709719	37692481	37709713	17239	17233	843
PHC2	ENSG00000134686	ENST00000257118	0.387	8	37.323	2.97145e-06	2574	1	1	33323623	33431095	33323626	33375593	107473	51968	2704
YARS	ENSG00000134684	ENST00000373477	0.624	10	27.191	2.2888875e-06	1584	1	1	32775237	32818031	32775239	32817358	42795	42120	1587
SPOCD1	ENSG00000134668	ENST00000257100	0.484	8	29.841	3.59991e-06	2088	0	1	31790422	31816022	31790422	31816022	25601	25601	3741
PUM1	ENSG00000134644	ENST00000257075	0.129	3	60.025	5.444085e-06	3558	0	1	30931506	31065991	30931506	31065698	134486	134193	3603
MTNR1B	ENSG00000134640	ENST00000257068	1.293	6	9.1385	8.093265e-07	1086	1	11	92969651	92985066	92969651	92982782	15416	13132	1089
PIWIL4	ENSG00000134627	ENST00000299001	0.585	18	45.598	3.637765e-06	2556	1	11	94543840	94621421	94567368	94621421	77582	54054	2623
ACP2	ENSG00000134575	ENST00000256997	0.753	11	24.178	1.87801e-06	1269	1	11	47239302	47248906	47239305	47248906	9605	9602	1417
